entry_time,exit_time,side,entry_price,exit_price,reason,pnl_points,pnl_brl,equity_brl
2026-04-22 10:55:00,2026-04-22 12:30:00,short,206900,205829.81579959756,target,1060.1842004024365,210.83684008048732,210.83684008048732
2026-04-22 12:30:00,2026-04-22 18:20:00,short,205620,204514.300833101,target,1095.699166898994,217.9398333797988,428.77667346028613
2026-04-23 14:15:00,2026-04-24 10:30:00,short,203605,202241.02853174345,target,1353.9714682565536,269.59429365131075,698.3709671115969
2026-04-24 10:30:00,2026-04-24 16:30:00,short,202000,202912.05430291116,stop,-922.0543029111577,-185.61086058223154,512.7601065293653
2026-04-29 11:00:00,2026-04-29 15:40:00,short,197450,196763.8342853064,target,676.165714693605,134.033142938721,646.7932494680863
2026-04-29 15:40:00,2026-04-30 09:00:00,short,196000,196559.74112250973,stop,-569.7411225097312,-115.14822450194625,531.64502496614
2026-04-30 10:55:00,2026-04-30 16:25:00,long,197830,198632.10300806127,target,792.1030080612691,157.22060161225383,688.8656265783939
2026-05-04 13:45:00,2026-05-05 09:00:00,short,196550,196782.82586208993,stop,-242.8258620899287,-49.765172417985745,639.1004541604082
2026-05-07 10:30:00,2026-05-07 11:00:00,short,195800,194728.41519019674,target,1061.5848098032584,211.1169619606517,850.2174161210598
2026-05-07 11:00:00,2026-05-08 09:50:00,short,194425,195009.45613583003,stop,-594.456135830027,-120.09122716600542,730.1261889550544
2026-05-11 17:10:00,2026-05-12 09:20:00,short,192000,191203.3547426365,target,786.6452573635033,156.1290514727007,886.2552404277551
2026-05-12 09:20:00,2026-05-12 10:35:00,short,190910,191371.17327858187,stop,-471.1732785818749,-95.43465571637499,790.8205847113801
2026-05-12 12:30:00,2026-05-13 14:55:00,short,190220,188795.74858595256,target,1414.2514140474377,281.6502828094876,1072.4708675208676
2026-05-13 15:45:00,2026-05-14 09:05:00,short,186875,187448.19490043668,stop,-583.1949004366761,-117.83898008733523,954.6318874335324
2026-06-16 09:35:00,2026-06-17 09:00:00,short,177200,176224.6363090249,target,965.363690975093,191.87273819501863,1146.504625628551
2026-06-17 16:10:00,2026-06-17 16:20:00,short,176655,175870.43043257538,target,774.5695674246235,153.71391348492472,1300.2185391134756
2026-06-17 16:20:00,2026-06-18 09:00:00,short,175735,174791.30108046773,target,933.6989195322676,185.53978390645355,1485.758323019929
2026-06-18 10:40:00,2026-06-18 12:35:00,long,175960,175381.08436695137,stop,-588.9156330486294,-118.98312660972589,1366.7751964102033
2026-06-18 13:15:00,2026-06-18 14:00:00,short,174995,175252.69626509806,stop,-267.69626509805676,-54.739253019611354,1312.035943390592
2026-06-24 09:20:00,2026-06-24 10:10:00,short,176630,177100.64916805353,stop,-480.6491680535255,-97.32983361070511,1214.706109779887
2026-06-26 12:05:00,2026-06-26 15:00:00,long,179725,180458.77815559244,target,723.7781555924448,143.55563111848898,1358.2617408983758
2026-06-30 09:15:00,2026-06-30 10:05:00,short,178560,177619.00865536148,target,930.9913446385181,184.99826892770363,1543.2600098260796
2026-06-30 10:05:00,2026-06-30 10:40:00,short,177860,176817.88095263942,target,1032.119047360582,205.22380947211644,1748.483819298196
2026-06-30 10:40:00,2026-06-30 10:45:00,short,177035,177568.9593236231,stop,-543.9593236231012,-109.99186472462026,1638.4919545735759
2026-06-30 13:25:00,2026-06-30 13:35:00,long,178805,178542.6456421064,stop,-272.3543578936078,-55.67087157872157,1582.8210829948544
2026-07-01 09:15:00,2026-07-01 10:35:00,short,176415,176988.05874637386,stop,-583.058746373863,-117.8117492747726,1465.0093337200817
2026-07-01 11:15:00,2026-07-01 12:00:00,long,177965,177405.6019897761,stop,-569.3980102239002,-115.07960204478005,1349.9297316753016
2026-07-02 09:30:00,2026-07-02 10:00:00,long,179840,179185.272906857,stop,-664.7270931430103,-134.14541862860204,1215.7843130466995
2026-07-06 10:00:00,2026-07-06 10:10:00,short,178675,179006.4405908909,stop,-341.44059089091024,-69.48811817818205,1146.2961948685174
2026-07-06 10:25:00,2026-07-06 10:45:00,short,178440,178836.63859267643,stop,-406.6385926764342,-82.52771853528685,1063.7684763332306
2026-07-09 12:10:00,2026-07-09 12:15:00,long,178420,178105.24233439413,stop,-324.75766560586635,-66.15153312117327,997.6169432120573
2026-07-10 09:45:00,2026-07-10 09:55:00,long,181615,182530.3510513659,target,905.3510513658985,179.8702102731797,1177.487153485237
2026-07-10 09:55:00,2026-07-10 17:05:00,long,182070,183856.73034524816,target,1776.7303452481574,354.14606904963154,1531.6332225348685
2026-07-10 17:25:00,2026-07-13 09:00:00,long,184190,183985.84756449237,stop,-214.15243550762534,-44.030487101525075,1487.6027354333435
2026-07-14 16:05:00,2026-07-14 16:15:00,long,182350,182166.64326754483,stop,-193.35673245516955,-39.87134649103392,1447.7313889423096
2026-07-16 10:35:00,2026-07-16 11:00:00,short,179365,179917.64468610156,stop,-562.6446861015575,-113.7289372203115,1334.002451721998
2026-07-16 14:05:00,2026-07-16 17:30:00,short,179425,178886.36565516496,target,528.6343448350381,104.52686896700762,1438.5293206890058
2026-07-22 10:20:00,2026-07-22 10:40:00,long,179910,180933.36967515474,target,1013.3696751547395,201.47393503094793,1640.0032557199538
2026-07-22 10:40:00,2026-07-22 11:30:00,long,181385,180719.57420946078,stop,-675.4257905392151,-136.28515810784302,1503.7180976121108
2026-07-22 14:05:00,2026-07-22 14:30:00,long,181790,182206.80734679184,target,406.8073467918439,80.16146935836878,1583.8795669704796
2026-07-22 14:30:00,2026-07-22 15:50:00,long,182155,182635.86887270768,target,470.86887270768057,92.97377454153612,1676.8533415120157
2026-07-22 15:50:00,2026-07-23 09:00:00,long,182610,182431.42359840628,stop,-188.57640159371658,-38.91528031874332,1637.9380611932725
2026-07-24 10:30:00,2026-07-24 11:00:00,short,179730,180193.54850357625,stop,-473.548503576254,-95.9097007152508,1542.0283604780216
2026-07-24 14:50:00,2026-07-24 15:55:00,short,178980,179142.00987170578,stop,-172.00987170578446,-35.6019743411569,1506.4263861368647
2026-07-24 17:30:00,2026-07-27 09:00:00,short,178590,178715.72194631936,stop,-135.72194631936145,-28.34438926387229,1478.0819968729925
2026-07-27 17:10:00,2026-07-28 09:00:00,long,180380,180738.9561542036,target,348.95615420359536,68.59123084071908,1546.6732277137116
2026-07-28 09:15:00,2026-07-28 10:15:00,long,182830,182263.23366822282,stop,-576.7663317771803,-116.55326635543607,1430.1199613582755
2026-07-29 10:50:00,2026-07-29 14:35:00,short,179750,178880.811421462,target,859.1885785379854,170.63771570759712,1600.7576770658727
2026-07-29 17:45:00,2026-07-30 09:00:00,short,177900,178118.0355476795,stop,-228.0355476794939,-46.80710953589879,1553.950567529974
2026-07-30 13:55:00,2026-07-30 15:50:00,long,180510,180874.28685127798,target,354.28685127798235,69.65737025559648,1623.6079377855706
2026-07-30 16:05:00,2026-07-30 16:20:00,long,181010,181318.56895374606,target,298.56895374605665,58.51379074921133,1682.1217285347818
